,,,,,,,,
,"100K TODAY
,"AMA #Sub80k y XRC20
 - Ended: Dec 30 2023 - Speakers: 12 - Duration: 1h 59m
",AMA #Sub80k y XRC20,Dec 30 2023,12,1h 59m,293,REPLAY,https://x.com/i/spaces/1BRJjPMOlZeKw
,"Banda Web3 - Shitcoin Season
 - Ended: Dec 21 2023 - Speakers: 5 - Duration: 1h 03m
",Banda Web3 - Shitcoin Season,Dec 21 2023,5,1h 03m,88,REPLAY,https://x.com/i/spaces/1mrGmyDAnaMGy
,"La Criptoartista, el Economista y el Ingeniero -Bitcoin/Metaverse
 - Ended: Feb 7 2023 - Speakers: 8 - Duration: 1h 51m
","La Criptoartista, el Economista y el Ingeniero -Bitcoin/Metaverse",Feb 7 2023,8,1h 51m,123,NADA,
,"Banda Web3 - Grants de @Meta_Pool, XRC20 $SUB80K
 - Ended: Jan 25 2024 - Speakers: 5 - Duration: 1h 55m
","Banda Web3 - Grants de 
@Meta_Pool, XRC20 $SUB80K",Jan 25 2024,5,1h 55m,244,REPLAY,https://x.com/i/spaces/1mrGmyDAnaMGy
,"El economista y el ingeniero Ep04
 - Ended: Nov 22 2022 - Speakers: 11 - Duration: 1h 51m
",El economista y el ingeniero Ep04,Nov 22 2022,11,1h 51m,60,REPLAY,https://x.com/i/spaces/1zqKVPozepnJB
,"La Sacerdotisa y el Ingeniero - Vara / CriptoMéxico / Polkadot Decoded
 - Ended: Jun 20 2023 - Speakers: 18 - Duration: 2h 27m
",La Sacerdotisa y el Ingeniero - Vara / CriptoMéxico / Polkadot Decoded,Jun 20 2023,18,2h 27m,150,REPLAY,https://x.com/i/spaces/1zqKVPeMvRlJB
,"AMA del Developer Bootcamp con Algorand Foundation
 - Ended: May 17 2023 - Speakers: 3 - Duration: 1h 18m
",AMA del Developer Bootcamp con Algorand Foundation,May 17 2023,3,1h 18m,77,REPLAY,https://x.com/i/spaces/1ypKddvvzMgKW
,"La abogada, el economista y el ingeniero - The Rug Pull Report 2022
 - Ended: Dec 22 2022 - Speakers: 7 - Duration: 1h 55m
","La abogada, el economista y el ingeniero - The Rug Pull Report 2022",Dec 22 2022,7,1h 55m,68,REPLAY,https://x.com/i/spaces/1ypKddMkbAvKW
,"Platicando sobre propiedad intelectual de  (Español)
 - Ended: Jun 16 2022 - Speakers: 13 - Duration: 2h 48m
",Platicando sobre propiedad intelectual de (Español),Jun 16 2022,13,2h 48m,213,NADA,
,"AMA @openshowmx | Aleks Syntek @syntekoficial habla de Web3
 - Ended: Nov 2 2023 - Speakers: 19 - Duration: 3h 57m
","AMA 
@openshowmx Aleks Syntek 
@syntekoficial habla de Web3",Nov 2 2023,19,3h 57m,872,REPLAY,https://x.com/i/spaces/1ynKOygNzPyJR
,"El DJ, el Economista y el Ingeniero - @brozrdz
 - Ended: Feb 28 2023 - Speakers: 30 - Duration: 4h 14m
","El DJ, el Economista y el Ingeniero - @brozrdz",Feb 28 2023,30,4h 14m,312,REPLAY,https://x.com/i/spaces/1ynJOaWDlYZKR
